Dataset,Algorithm,Accuracy,CV_Mean,Training_Time
Titanic,Logistic Regression,0.7932960893854749,0.7991880296422367,0.0019979476928710938
Titanic,Naive Bayes,0.8100558659217877,0.803383800777695,0.0009984970092773438
Titanic,KNN,0.8100558659217877,0.8034251675353685,0.0010001659393310547
Titanic,Decision Tree,0.8044692737430168,0.77112954886596,0.003003835678100586
Titanic,Random Forest,0.8212290502793296,0.8033956198513161,0.06250762939453125
Titanic,SVM,0.8324022346368715,0.827264239028945,0.0451357364654541
Titanic,Neural Network,0.7988826815642458,0.8230448297462445,1.2396330833435059
Iris,Logistic Regression,0.9111111111111111,0.980952380952381,0.0052492618560791016
Iris,Naive Bayes,0.9111111111111111,0.9714285714285714,0.0010600090026855469
Iris,KNN,0.9111111111111111,0.9333333333333332,0.0009989738464355469
Iris,Decision Tree,0.9111111111111111,0.9523809523809522,0.0019979476928710938
Iris,Random Forest,0.8888888888888888,0.9523809523809522,0.05553460121154785
Iris,SVM,0.9333333333333333,0.9619047619047619,0.001998424530029297
Iris,Neural Network,0.9333333333333333,0.9714285714285714,0.14451956748962402
